mmsi,name,flag,vessel_type,n_pings,n_ais_gaps_1h,n_dark_periods_8h,max_gap_h,impossible_jumps,max_implied_speed_kn,dark_fraction,poor_compliance_flag,dark_risk_score,anomaly_flags
700011181,VESSEL_PHI_015,MH,longliner,865,0,0,0.08,0,13.5,0.0,True,0.031,POOR_COMPLIANCE_FLAG
700011182,VESSEL_PHI_016,ID,trawler,865,0,0,0.08,0,13.3,0.0,False,0.021,IUU_CONCERN_FLAG+FISHING
700011183,VESSEL_PHI_017,CN,trawler,865,0,0,0.08,0,13.1,0.0,False,0.021,IUU_CONCERN_FLAG+FISHING
700011184,VESSEL_PHI_018,SG,purse_seiner,865,0,0,0.08,0,16.1,0.0,False,0.001,NONE
700011185,VESSEL_PHI_019,CN,longliner,865,0,0,0.08,0,14.3,0.0,False,0.021,IUU_CONCERN_FLAG+FISHING
750000167,FISH_PHI_TRANS,VU,trawler,228,1,0,3.17,0,12.4,0.0,True,0.133,AIS_GAPS_1x>1h; POOR_COMPLIANCE_FLAG
750000267,FISH_PHI_TRANS,VU,trawler,228,1,0,3.17,0,12.7,0.0,True,0.133,AIS_GAPS_1x>1h; POOR_COMPLIANCE_FLAG
750000367,FISH_PHI_TRANS,TW,trawler,228,1,0,3.17,0,12.2,0.0,False,0.123,AIS_GAPS_1x>1h; IUU_CONCERN_FLAG+FISHING
750100167,REEFER_PHI_01,MH,reefer_carrier,205,0,0,0.08,0,17.7,0.0,True,0.031,POOR_COMPLIANCE_FLAG
750100267,REEFER_PHI_01,LR,reefer_carrier,205,0,0,0.08,0,17.5,0.0,False,0.001,NONE
750100367,REEFER_PHI_01,PA,reefer_carrier,205,0,0,0.08,0,17.7,0.0,True,0.031,POOR_COMPLIANCE_FLAG
760000167,CARGO_PHI_BNKR,CN,cargo,163,0,0,0.08,0,18.4,0.0,False,0.001,NONE
760000267,CARGO_PHI_BNKR,KR,cargo,163,0,0,0.08,0,19.9,0.0,False,0.001,NONE
760000367,CARGO_PHI_BNKR,KR,cargo,163,0,0,0.08,0,19.5,0.0,False,0.001,NONE
760100167,BARGE_PHI_01,MY,bunker_barge,73,0,0,0.08,0,8.4,0.0,False,0.001,NONE
760100267,BARGE_PHI_01,SG,bunker_barge,73,0,0,0.08,0,8.9,0.0,False,0.001,NONE
760100367,BARGE_PHI_01,MY,bunker_barge,73,0,0,0.08,0,9.5,0.0,False,0.001,NONE
770001167,SURVEY_PHI_00,NO,survey_vessel,189,0,0,0.08,0,12.5,0.0,False,0.001,NONE
780001167,PATROL_PHI_00,PH,patrol_vessel,120,0,0,0.08,0,10.8,0.0,False,0.001,NONE
780001168,PATROL_PHI_01,PH,patrol_vessel,182,0,0,0.08,0,9.3,0.0,False,0.001,NONE
790001167,DREDGER_PHI_00,US,dredger,133,0,0,0.08,0,4.2,0.0,False,0.001,NONE
800001166,LOITER_PHI_00,PH,cargo,553,0,0,0.08,0,19.1,0.0,False,0.001,NONE
800001167,LOITER_PHI_01,VN,cargo,553,0,0,0.08,0,19.2,0.0,False,0.001,NONE
800001168,LOITER_PHI_02,CN,cargo,553,0,0,0.08,0,19.7,0.0,False,0.001,NONE
800001169,LOITER_PHI_03,TW,cargo,553,0,0,0.08,0,19.1,0.0,False,0.001,NONE
900001166,STS_TANKER_0_1,PA,tanker,289,0,0,0.08,0,15.2,0.0,True,0.031,POOR_COMPLIANCE_FLAG
900001167,STS_TANKER_0_2,VU,tanker,289,0,0,0.08,0,14.9,0.0,True,0.031,POOR_COMPLIANCE_FLAG
900001176,STS_TANKER_1_1,PA,tanker,289,0,0,0.08,0,15.7,0.0,True,0.031,POOR_COMPLIANCE_FLAG
900001177,STS_TANKER_1_2,VU,tanker,289,0,0,0.08,0,14.8,0.0,True,0.031,POOR_COMPLIANCE_FLAG
900001186,STS_TANKER_2_1,PA,tanker,289,0,0,0.08,0,15.5,0.0,True,0.031,POOR_COMPLIANCE_FLAG
900001187,STS_TANKER_2_2,VU,tanker,289,0,0,0.08,0,14.5,0.0,True,0.031,POOR_COMPLIANCE_FLAG
