mmsi,name,flag,vessel_type,n_pings,n_ais_gaps_1h,n_dark_periods_8h,max_gap_h,impossible_jumps,max_implied_speed_kn,dark_fraction,poor_compliance_flag,dark_risk_score,anomaly_flags
700079223,VESSEL_PHI_018,SG,purse_seiner,865,0,0,0.08,0,16.1,0.0,False,0.001,NONE
700079224,VESSEL_PHI_019,CN,longliner,865,0,0,0.08,0,14.3,0.0,False,0.021,IUU_CONCERN_FLAG+FISHING
750000206,FISH_PHI_TRANS,VU,trawler,228,1,0,3.17,0,12.4,0.0,True,0.133,AIS_GAPS_1x>1h; POOR_COMPLIANCE_FLAG
750000306,FISH_PHI_TRANS,VU,trawler,228,1,0,3.17,0,12.7,0.0,True,0.133,AIS_GAPS_1x>1h; POOR_COMPLIANCE_FLAG
750000406,FISH_PHI_TRANS,TW,trawler,228,1,0,3.17,0,12.2,0.0,False,0.123,AIS_GAPS_1x>1h; IUU_CONCERN_FLAG+FISHING
750100206,REEFER_PHI_01,MH,reefer_carrier,205,0,0,0.08,0,17.7,0.0,True,0.031,POOR_COMPLIANCE_FLAG
750100306,REEFER_PHI_01,LR,reefer_carrier,205,0,0,0.08,0,17.5,0.0,False,0.001,NONE
750100406,REEFER_PHI_01,PA,reefer_carrier,205,0,0,0.08,0,17.7,0.0,True,0.031,POOR_COMPLIANCE_FLAG
760000206,CARGO_PHI_BNKR,CN,cargo,163,0,0,0.08,0,18.4,0.0,False,0.001,NONE
760000306,CARGO_PHI_BNKR,KR,cargo,163,0,0,0.08,0,19.9,0.0,False,0.001,NONE
760000406,CARGO_PHI_BNKR,KR,cargo,163,0,0,0.08,0,19.5,0.0,False,0.001,NONE
760100206,BARGE_PHI_01,MY,bunker_barge,73,0,0,0.08,0,8.4,0.0,False,0.001,NONE
760100306,BARGE_PHI_01,SG,bunker_barge,73,0,0,0.08,0,8.9,0.0,False,0.001,NONE
760100406,BARGE_PHI_01,MY,bunker_barge,73,0,0,0.08,0,9.5,0.0,False,0.001,NONE
770009206,SURVEY_PHI_00,NO,survey_vessel,189,0,0,0.08,0,12.5,0.0,False,0.001,NONE
780009206,PATROL_PHI_00,PH,patrol_vessel,120,0,0,0.08,0,10.8,0.0,False,0.001,NONE
780009207,PATROL_PHI_01,PH,patrol_vessel,182,0,0,0.08,0,9.3,0.0,False,0.001,NONE
790009206,DREDGER_PHI_00,US,dredger,133,0,0,0.08,0,4.2,0.0,False,0.001,NONE
800009205,LOITER_PHI_00,PH,cargo,553,0,0,0.08,0,19.1,0.0,False,0.001,NONE
800009206,LOITER_PHI_01,VN,cargo,553,0,0,0.08,0,19.2,0.0,False,0.001,NONE
800009207,LOITER_PHI_02,CN,cargo,553,0,0,0.08,0,19.7,0.0,False,0.001,NONE
800009208,LOITER_PHI_03,TW,cargo,553,0,0,0.08,0,19.1,0.0,False,0.001,NONE
900009205,STS_TANKER_0_1,PA,tanker,289,0,0,0.08,0,15.2,0.0,True,0.031,POOR_COMPLIANCE_FLAG
900009206,STS_TANKER_0_2,VU,tanker,289,0,0,0.08,0,14.9,0.0,True,0.031,POOR_COMPLIANCE_FLAG
900009215,STS_TANKER_1_1,PA,tanker,289,0,0,0.08,0,15.7,0.0,True,0.031,POOR_COMPLIANCE_FLAG
900009216,STS_TANKER_1_2,VU,tanker,289,0,0,0.08,0,14.8,0.0,True,0.031,POOR_COMPLIANCE_FLAG
900009225,STS_TANKER_2_1,PA,tanker,289,0,0,0.08,0,15.5,0.0,True,0.031,POOR_COMPLIANCE_FLAG
900009226,STS_TANKER_2_2,VU,tanker,289,0,0,0.08,0,14.5,0.0,True,0.031,POOR_COMPLIANCE_FLAG
