date,time,icao_hex,latitude,longitude,altitude,altitude_unit,vertical_rate,vertical_rate_unit
2025-01-27,02:59:00,000002,20.59483,-157.691249,677.052,meters,2121.01,meters/minute
2025-01-27,02:59:01,000002,20.59483,-157.691113,691.194,meters,2121.132,meters/minute
2025-01-27,02:59:01,000002,20.594829,-157.690977,705.337,meters,2121.205,meters/minute
2025-01-27,02:59:01,000002,20.594829,-157.690842,719.48,meters,2121.249,meters/minute
2025-01-27,02:59:02,000002,20.594828,-157.690706,733.624,meters,2121.275,meters/minute
2025-01-27,02:59:02,000002,20.594828,-157.690571,747.767,meters,2121.291,meters/minute
2025-01-27,02:59:03,000002,20.594828,-157.690435,761.911,meters,2121.3,meters/minute
2025-01-27,02:59:03,000002,20.594827,-157.690299,776.055,meters,2121.306,meters/minute
2025-01-27,02:59:03,000002,20.594827,-157.690164,790.198,meters,2121.31,meters/minute
2025-01-27,02:59:04,000002,20.594826,-157.690028,804.342,meters,2121.312,meters/minute
2025-01-27,02:59:04,000002,20.594826,-157.689892,818.486,meters,2121.313,meters/minute
2025-01-27,02:59:05,000002,20.594825,-157.689757,832.63,meters,2121.314,meters/minute
2025-01-27,02:59:05,000002,20.594825,-157.689621,846.774,meters,2121.314,meters/minute
2025-01-27,02:59:05,000002,20.594825,-157.689486,860.918,meters,2121.314,meters/minute
2025-01-27,02:59:06,000002,20.594824,-157.68935,875.062,meters,2121.314,meters/minute
2025-01-27,02:59:06,000002,20.594824,-157.689214,889.206,meters,2121.314,meters/minute
2025-01-27,02:59:07,000002,20.594823,-157.689079,903.35,meters,2121.315,meters/minute
2025-01-27,02:59:07,000002,20.594823,-157.688943,917.494,meters,2121.315,meters/minute
2025-01-27,02:59:07,000002,20.594822,-157.688807,931.638,meters,2121.315,meters/minute
2025-01-27,02:59:08,000002,20.594822,-157.688672,945.782,meters,2121.315,meters/minute
2025-01-27,02:59:08,000002,20.594821,-157.688536,959.927,meters,2121.315,meters/minute
2025-01-27,02:59:09,000002,20.594821,-157.688401,974.071,meters,2121.315,meters/minute
2025-01-27,02:59:09,000002,20.594821,-157.688265,988.215,meters,2121.315,meters/minute
2025-01-27,02:59:09,000002,20.594872,-157.688182,991.114,meters,434.611,meters/minute
2025-01-27,02:59:10,000002,20.594954,-157.688132,987.216,meters,-584.949,meters/minute
2025-01-27,02:59:10,000002,20.595054,-157.688103,979.21,meters,-1201.189,meters/minute
2025-01-27,02:59:11,000002,20.595165,-157.688085,968.72,meters,-1573.69,meters/minute
2025-01-27,02:59:11,000002,20.595283,-157.688076,956.728,meters,-1798.905,meters/minute
2025-01-27,02:59:11,000002,20.595404,-157.688071,943.829,meters,-1935.111,meters/minute
2025-01-27,02:59:12,000002,20.595527,-157.688069,930.38,meters,-2017.516,meters/minute
2025-01-27,02:59:12,000002,20.595651,-157.688069,916.599,meters,-2067.393,meters/minute
2025-01-27,02:59:13,000002,20.595777,-157.68807,902.616,meters,-2097.596,meters/minute
2025-01-27,02:59:13,000002,20.595902,-157.688072,888.511,meters,-2115.896,meters/minute
2025-01-27,02:59:13,000002,20.596028,-157.688074,874.333,meters,-2126.99,meters/minute
2025-01-27,02:59:14,000002,20.596154,-157.688076,860.109,meters,-2133.72,meters/minute
2025-01-27,02:59:14,000002,20.596281,-157.688079,845.859,meters,-2137.806,meters/minute
2025-01-27,02:59:15,000002,20.596407,-157.688082,831.592,meters,-2140.288,meters/minute
2025-01-27,02:59:15,000002,20.596533,-157.688085,817.314,meters,-2141.798,meters/minute
2025-01-27,02:59:15,000002,20.596659,-157.688088,803.031,meters,-2142.717,meters/minute
2025-01-27,02:59:16,000002,20.596786,-157.688091,788.744,meters,-2143.277,meters/minute
2025-01-27,02:59:16,000002,20.596912,-157.688093,774.455,meters,-2143.619,meters/minute
2025-01-27,02:59:17,000002,20.597038,-157.688096,760.164,meters,-2143.828,meters/minute
2025-01-27,02:59:17,000002,20.597165,-157.688099,745.873,meters,-2143.956,meters/minute
2025-01-27,02:59:17,000002,20.597291,-157.688102,731.581,meters,-2144.034,meters/minute
2025-01-27,02:59:18,000002,20.597417,-157.688105,717.289,meters,-2144.082,meters/minute
2025-01-27,02:59:18,000002,20.597544,-157.688108,702.996,meters,-2144.112,meters/minute
2025-01-27,02:59:19,000002,20.59767,-157.688111,688.704,meters,-2144.13,meters/minute
2025-01-27,02:59:19,000002,20.597796,-157.688114,674.411,meters,-2144.141,meters/minute
2025-01-27,02:59:19,000002,20.597923,-157.688117,660.119,meters,-2144.149,meters/minute
2025-01-27,02:59:20,000002,20.598049,-157.68812,645.826,meters,-2144.153,meters/minute
2025-01-27,02:59:20,000002,20.598175,-157.688123,631.534,meters,-2144.156,meters/minute
2025-01-27,02:59:21,000002,20.598302,-157.688126,617.241,meters,-2144.157,meters/minute
2025-01-27,02:59:21,000002,20.598428,-157.688129,602.949,meters,-2144.159,meters/minute
2025-01-27,02:59:21,000002,20.598554,-157.688132,588.656,meters,-2144.159,meters/minute
2025-01-27,02:59:22,000002,20.598681,-157.688135,574.364,meters,-2144.16,meters/minute
2025-01-27,02:59:22,000002,20.598807,-157.688138,560.072,meters,-2144.16,meters/minute
2025-01-27,02:59:23,000002,20.598933,-157.688141,545.779,meters,-2144.16,meters/minute
2025-01-27,02:59:23,000002,20.59906,-157.688144,531.487,meters,-2144.161,meters/minute
2025-01-27,02:59:23,000002,20.599186,-157.688146,517.195,meters,-2144.161,meters/minute
2025-01-27,02:59:24,000002,20.599263,-157.688203,514.173,meters,-453.362,meters/minute
2025-01-27,02:59:24,000002,20.599311,-157.688292,517.966,meters,569.112,meters/minute
2025-01-27,02:59:25,000002,20.599339,-157.6884,525.881,meters,1187.377,meters/minute
2025-01-27,02:59:25,000002,20.599357,-157.688519,536.287,meters,1561.266,meters/minute
2025-01-27,02:59:25,000002,20.599367,-157.688645,548.202,meters,1787.422,meters/minute
2025-01-27,02:59:26,000002,20.599372,-157.688774,561.028,meters,1924.262,meters/minute
2025-01-27,02:59:26,000002,20.599375,-157.688906,574.407,meters,2007.092,meters/minute
2025-01-27,02:59:27,000002,20.599377,-157.689038,588.12,meters,2057.251,meters/minute
2025-01-27,02:59:27,000002,20.599377,-157.689172,602.036,meters,2087.642,meters/minute
2025-01-27,02:59:27,000002,20.599376,-157.689306,616.074,meters,2106.066,meters/minute
2025-01-27,02:59:28,000002,20.599375,-157.689441,630.187,meters,2117.242,meters/minute
2025-01-27,02:59:28,000002,20.599374,-157.689575,644.345,meters,2124.027,meters/minute
2025-01-27,02:59:29,000002,20.599373,-157.68971,658.531,meters,2128.148,meters/minute
2025-01-27,02:59:29,000002,20.599372,-157.689845,672.734,meters,2130.654,meters/minute
2025-01-27,02:59:29,000002,20.59937,-157.68998,686.946,meters,2132.18,meters/minute
2025-01-27,02:59:30,000002,20.599369,-157.690114,701.165,meters,2133.109,meters/minute
2025-01-27,02:59:30,000002,20.599367,-157.690249,715.388,meters,2133.676,meters/minute
2025-01-27,02:59:31,000002,20.599366,-157.690384,729.613,meters,2134.022,meters/minute
2025-01-27,02:59:31,000002,20.599364,-157.690519,743.84,meters,2134.234,meters/minute
2025-01-27,02:59:31,000002,20.599362,-157.690654,758.067,meters,2134.364,meters/minute
2025-01-27,02:59:32,000002,20.599361,-157.690788,772.295,meters,2134.443,meters/minute
2025-01-27,02:59:32,000002,20.599359,-157.690923,786.524,meters,2134.492,meters/minute
2025-01-27,02:59:33,000002,20.599358,-157.691058,800.752,meters,2134.523,meters/minute
2025-01-27,02:59:33,000002,20.599356,-157.691193,814.981,meters,2134.541,meters/minute
2025-01-27,02:59:33,000002,20.599355,-157.691328,829.21,meters,2134.553,meters/minute
2025-01-27,02:59:34,000002,20.599353,-157.691462,843.439,meters,2134.56,meters/minute
2025-01-27,02:59:34,000002,20.599352,-157.691597,857.668,meters,2134.565,meters/minute
2025-01-27,02:59:35,000002,20.59935,-157.691732,871.897,meters,2134.568,meters/minute
2025-01-27,02:59:35,000002,20.599348,-157.691867,886.126,meters,2134.569,meters/minute
2025-01-27,02:59:35,000002,20.599347,-157.692002,900.355,meters,2134.571,meters/minute
2025-01-27,02:59:36,000002,20.599345,-157.692136,914.584,meters,2134.571,meters/minute
2025-01-27,02:59:36,000002,20.599344,-157.692271,928.813,meters,2134.572,meters/minute
2025-01-27,02:59:37,000002,20.599342,-157.692406,943.042,meters,2134.572,meters/minute
2025-01-27,02:59:37,000002,20.599341,-157.692541,957.272,meters,2134.572,meters/minute
2025-01-27,02:59:37,000002,20.599339,-157.692675,971.501,meters,2134.573,meters/minute
2025-01-27,02:59:38,000002,20.599338,-157.69281,985.73,meters,2134.573,meters/minute
2025-01-27,02:59:38,000002,20.599285,-157.692893,988.695,meters,444.996,meters/minute
2025-01-27,02:59:39,000002,20.599202,-157.692943,984.85,meters,-576.538,meters/minute
2025-01-27,02:59:39,000002,20.599101,-157.692973,976.887,meters,-1194.115,meters/minute
2025-01-27,02:59:39,000002,20.598989,-157.692991,966.435,meters,-1567.513,meters/minute
2025-01-27,02:59:40,000002,20.598872,-157.693001,954.477,meters,-1793.326,meters/minute
2025-01-27,02:59:40,000002,20.59875,-157.693006,941.609,meters,-1929.928,meters/minute
2025-01-27,02:59:41,000002,20.598627,-157.693009,928.19,meters,-2012.595,meters/minute
2025-01-27,02:59:41,000002,20.598502,-157.693009,914.437,meters,-2062.645,meters/minute
2025-01-27,02:59:41,000002,20.598376,-157.693009,900.482,meters,-2092.961,meters/minute
2025-01-27,02:59:42,000002,20.59825,-157.693007,886.404,meters,-2111.335,meters/minute
2025-01-27,02:59:42,000002,20.598124,-157.693006,872.253,meters,-2122.478,meters/minute
2025-01-27,02:59:43,000002,20.597998,-157.693004,858.056,meters,-2129.24,meters/minute
2025-01-27,02:59:43,000002,20.597871,-157.693002,843.832,meters,-2133.347,meters/minute
2025-01-27,02:59:43,000002,20.597745,-157.693,829.591,meters,-2135.843,meters/minute
2025-01-27,02:59:44,000002,20.597618,-157.692998,815.34,meters,-2137.362,meters/minute
2025-01-27,02:59:44,000002,20.597492,-157.692995,801.083,meters,-2138.287,meters/minute
2025-01-27,02:59:45,000002,20.597365,-157.692993,786.822,meters,-2138.851,meters/minute
2025-01-27,02:59:45,000002,20.597239,-157.692991,772.559,meters,-2139.195,meters/minute
2025-01-27,02:59:45,000002,20.597112,-157.692988,758.295,meters,-2139.406,meters/minute
2025-01-27,02:59:46,000002,20.596986,-157.692986,744.03,meters,-2139.535,meters/minute
2025-01-27,02:59:46,000002,20.596859,-157.692984,729.764,meters,-2139.614,meters/minute
2025-01-27,02:59:47,000002,20.596732,-157.692981,715.498,meters,-2139.662,meters/minute
2025-01-27,02:59:47,000002,20.596606,-157.692979,701.232,meters,-2139.692,meters/minute
2025-01-27,02:59:47,000002,20.596479,-157.692977,686.966,meters,-2139.711,meters/minute
2025-01-27,02:59:48,000002,20.596353,-157.692974,672.699,meters,-2139.722,meters/minute
2025-01-27,02:59:48,000002,20.596226,-157.692972,658.433,meters,-2139.73,meters/minute
2025-01-27,02:59:49,000002,20.5961,-157.69297,644.167,meters,-2139.734,meters/minute
2025-01-27,02:59:49,000002,20.595973,-157.692967,629.9,meters,-2139.737,meters/minute
2025-01-27,02:59:49,000002,20.595846,-157.692965,615.634,meters,-2139.739,meters/minute
2025-01-27,02:59:50,000002,20.59572,-157.692963,601.368,meters,-2139.74,meters/minute
2025-01-27,02:59:50,000002,20.595593,-157.69296,587.102,meters,-2139.741,meters/minute
2025-01-27,02:59:51,000002,20.595467,-157.692958,572.835,meters,-2139.741,meters/minute
2025-01-27,02:59:51,000002,20.59534,-157.692956,558.569,meters,-2139.741,meters/minute
2025-01-27,02:59:51,000002,20.595214,-157.692953,544.303,meters,-2139.742,meters/minute
2025-01-27,02:59:52,000002,20.595087,-157.692951,530.037,meters,-2139.742,meters/minute
