mmsi,name,flag,vessel_type,n_pings,n_ais_gaps_1h,n_dark_periods_8h,max_gap_h,impossible_jumps,max_implied_speed_kn,dark_fraction,poor_compliance_flag,dark_risk_score,anomaly_flags
700068594,VESSEL_BRA_014,CN,trawler,865,0,0,0.08,0,12.8,0.0,False,0.021,IUU_CONCERN_FLAG+FISHING
700068595,VESSEL_BRA_015,KR,longliner,724,1,1,11.83,0,14.1,0.0,False,0.255,AIS_GAPS_1x>1h; DARK_PERIODS_1x>8h
700068596,VESSEL_BRA_016,PT,purse_seiner,865,0,0,0.08,0,15.9,0.0,False,0.001,NONE
700068597,VESSEL_BRA_017,PT,trawler,865,0,0,0.08,0,13.5,0.0,False,0.001,NONE
700068598,VESSEL_BRA_018,PT,longliner,865,0,0,0.08,0,14.0,0.0,False,0.001,NONE
700068599,VESSEL_BRA_019,BR,purse_seiner,865,0,0,0.08,0,15.5,0.0,False,0.001,NONE
750000581,FISH_BRA_TRANS,TW,trawler,228,1,0,3.17,0,12.7,0.0,False,0.123,AIS_GAPS_1x>1h; IUU_CONCERN_FLAG+FISHING
750000681,FISH_BRA_TRANS,KR,trawler,265,0,0,0.08,0,12.2,0.0,False,0.001,NONE
750000781,FISH_BRA_TRANS,VU,trawler,228,1,0,3.17,0,11.6,0.0,True,0.133,AIS_GAPS_1x>1h; POOR_COMPLIANCE_FLAG
750100581,REEFER_BRA_01,PA,reefer_carrier,205,0,0,0.08,0,17.0,0.0,True,0.031,POOR_COMPLIANCE_FLAG
750100681,REEFER_BRA_01,LR,reefer_carrier,205,0,0,0.08,0,17.6,0.0,False,0.001,NONE
750100781,REEFER_BRA_01,MH,reefer_carrier,205,0,0,0.08,0,17.9,0.0,True,0.031,POOR_COMPLIANCE_FLAG
760000581,CARGO_BRA_BNKR,KR,cargo,163,0,0,0.08,0,18.4,0.0,False,0.001,NONE
760000681,CARGO_BRA_BNKR,JP,cargo,163,0,0,0.08,0,19.8,0.0,False,0.001,NONE
760000781,CARGO_BRA_BNKR,KR,cargo,163,0,0,0.08,0,19.0,0.0,False,0.001,NONE
760100581,BARGE_BRA_01,SG,bunker_barge,73,0,0,0.08,0,9.8,0.0,False,0.001,NONE
760100681,BARGE_BRA_01,NG,bunker_barge,73,0,0,0.08,0,10.2,0.0,False,0.001,NONE
760100781,BARGE_BRA_01,SG,bunker_barge,73,0,0,0.08,0,9.4,0.0,False,0.001,NONE
770008581,SURVEY_BRA_00,US,survey_vessel,287,0,0,0.08,0,16.0,0.0,False,0.001,NONE
780008581,PATROL_BRA_00,BR,patrol_vessel,162,0,0,0.08,0,10.1,0.0,False,0.001,NONE
780008582,PATROL_BRA_01,BR,patrol_vessel,90,0,0,0.08,0,13.6,0.0,False,0.001,NONE
790008581,DREDGER_BRA_00,US,dredger,119,0,0,0.08,0,4.2,0.0,False,0.001,NONE
800008580,LOITER_BRA_00,VU,cargo,553,0,0,0.08,0,19.1,0.0,True,0.031,POOR_COMPLIANCE_FLAG
800008581,LOITER_BRA_01,BR,cargo,553,0,0,0.08,0,19.6,0.0,False,0.001,NONE
800008582,LOITER_BRA_02,PA,cargo,553,0,0,0.08,0,19.0,0.0,True,0.031,POOR_COMPLIANCE_FLAG
800008583,LOITER_BRA_03,ES,cargo,553,0,0,0.08,0,19.6,0.0,False,0.001,NONE
900008580,STS_TANKER_0_1,PA,tanker,289,0,0,0.08,0,15.4,0.0,True,0.031,POOR_COMPLIANCE_FLAG
900008581,STS_TANKER_0_2,VU,tanker,289,0,0,0.08,0,15.7,0.0,True,0.031,POOR_COMPLIANCE_FLAG
900008590,STS_TANKER_1_1,PA,tanker,289,0,0,0.08,0,15.3,0.0,True,0.031,POOR_COMPLIANCE_FLAG
900008591,STS_TANKER_1_2,VU,tanker,289,0,0,0.08,0,14.5,0.0,True,0.031,POOR_COMPLIANCE_FLAG
900008600,STS_TANKER_2_1,PA,tanker,289,0,0,0.08,0,14.5,0.0,True,0.031,POOR_COMPLIANCE_FLAG
900008601,STS_TANKER_2_2,VU,tanker,289,0,0,0.08,0,14.4,0.0,True,0.031,POOR_COMPLIANCE_FLAG
