mmsi,name,flag,vessel_type,n_pings,n_ais_gaps_1h,n_dark_periods_8h,max_gap_h,impossible_jumps,max_implied_speed_kn,dark_fraction,poor_compliance_flag,dark_risk_score,anomaly_flags
750000998,FISH_GUL_TRANS,KR,trawler,228,1,0,3.17,0,13.2,0.0,False,0.103,AIS_GAPS_1x>1h
750001098,FISH_GUL_TRANS,CN,trawler,265,0,0,0.08,0,12.3,0.0,False,0.021,IUU_CONCERN_FLAG+FISHING
750100898,REEFER_GUL_01,PA,reefer_carrier,205,0,0,0.08,0,17.2,0.0,True,0.031,POOR_COMPLIANCE_FLAG
750100998,REEFER_GUL_01,LR,reefer_carrier,205,0,0,0.08,0,17.7,0.0,False,0.001,NONE
750101098,REEFER_GUL_01,LR,reefer_carrier,205,0,0,0.08,0,17.6,0.0,False,0.001,NONE
760000898,CARGO_GUL_BNKR,JP,cargo,163,0,0,0.08,0,20.4,0.0,False,0.001,NONE
760000998,CARGO_GUL_BNKR,JP,cargo,163,0,0,0.08,0,18.9,0.0,False,0.001,NONE
760001098,CARGO_GUL_BNKR,CN,cargo,163,0,0,0.08,0,19.8,0.0,False,0.001,NONE
760100898,BARGE_GUL_01,BR,bunker_barge,73,0,0,0.08,0,9.3,0.0,False,0.001,NONE
760100998,BARGE_GUL_01,NG,bunker_barge,73,0,0,0.08,0,9.0,0.0,False,0.001,NONE
760101098,BARGE_GUL_01,SG,bunker_barge,73,0,0,0.08,0,10.0,0.0,False,0.001,NONE
770006898,SURVEY_GUL_00,US,survey_vessel,176,0,0,0.08,0,14.3,0.0,False,0.001,NONE
780006898,PATROL_GUL_00,NG,patrol_vessel,58,0,0,0.08,0,13.4,0.0,False,0.001,NONE
780006899,PATROL_GUL_01,NG,patrol_vessel,58,0,0,0.08,0,13.7,0.0,False,0.001,NONE
790006898,DREDGER_GUL_00,BE,dredger,203,0,0,0.08,0,4.2,0.0,False,0.001,NONE
800006897,LOITER_GUL_00,SL,cargo,553,0,0,0.08,0,19.2,0.0,True,0.031,POOR_COMPLIANCE_FLAG
800006898,LOITER_GUL_01,SL,cargo,553,0,0,0.08,0,19.0,0.0,True,0.031,POOR_COMPLIANCE_FLAG
800006899,LOITER_GUL_02,KR,cargo,553,0,0,0.08,0,20.6,0.0,False,0.001,NONE
800006900,LOITER_GUL_03,LR,cargo,553,0,0,0.08,0,20.6,0.0,False,0.001,NONE
900006897,STS_TANKER_0_1,PA,tanker,289,0,0,0.08,0,14.5,0.0,True,0.031,POOR_COMPLIANCE_FLAG
900006898,STS_TANKER_0_2,VU,tanker,289,0,0,0.08,0,14.7,0.0,True,0.031,POOR_COMPLIANCE_FLAG
900006907,STS_TANKER_1_1,PA,tanker,289,0,0,0.08,0,16.0,0.0,True,0.031,POOR_COMPLIANCE_FLAG
900006908,STS_TANKER_1_2,VU,tanker,289,0,0,0.08,0,15.5,0.0,True,0.031,POOR_COMPLIANCE_FLAG
900006917,STS_TANKER_2_1,PA,tanker,289,0,0,0.08,0,15.1,0.0,True,0.031,POOR_COMPLIANCE_FLAG
900006918,STS_TANKER_2_2,VU,tanker,289,0,0,0.08,0,15.3,0.0,True,0.031,POOR_COMPLIANCE_FLAG
