mmsi,name,flag,vessel_type,n_pings,n_ais_gaps_1h,n_dark_periods_8h,max_gap_h,impossible_jumps,max_implied_speed_kn,dark_fraction,poor_compliance_flag,dark_risk_score,anomaly_flags
700050123,VESSEL_GUL_011,PA,longliner,865,0,0,0.08,0,13.5,0.0,True,0.031,POOR_COMPLIANCE_FLAG
700050124,VESSEL_GUL_012,GH,purse_seiner,865,0,0,0.08,0,16.2,0.0,False,0.001,NONE
700050125,VESSEL_GUL_013,LR,longliner,865,0,0,0.08,0,13.9,0.0,False,0.001,NONE
700050126,VESSEL_GUL_014,PA,longliner,865,0,0,0.08,0,13.8,0.0,True,0.031,POOR_COMPLIANCE_FLAG
700050127,VESSEL_GUL_015,CM,longliner,865,0,0,0.08,0,14.0,0.0,False,0.001,NONE
700050128,VESSEL_GUL_016,GA,trawler,726,1,1,11.67,0,13.1,0.0,False,0.252,AIS_GAPS_1x>1h; DARK_PERIODS_1x>8h
700050129,VESSEL_GUL_017,KR,trawler,865,0,0,0.08,0,13.2,0.0,False,0.001,NONE
700050130,VESSEL_GUL_018,GA,longliner,865,0,0,0.08,0,13.7,0.0,False,0.001,NONE
700050131,VESSEL_GUL_019,GA,purse_seiner,865,0,0,0.08,0,16.4,0.0,False,0.001,NONE
750000113,FISH_GUL_TRANS,KR,trawler,228,1,0,3.17,0,11.7,0.0,False,0.103,AIS_GAPS_1x>1h
750000213,FISH_GUL_TRANS,KR,trawler,228,1,0,3.17,0,13.2,0.0,False,0.103,AIS_GAPS_1x>1h
750000313,FISH_GUL_TRANS,CN,trawler,265,0,0,0.08,0,12.3,0.0,False,0.021,IUU_CONCERN_FLAG+FISHING
750100113,REEFER_GUL_01,PA,reefer_carrier,205,0,0,0.08,0,17.2,0.0,True,0.031,POOR_COMPLIANCE_FLAG
750100213,REEFER_GUL_01,LR,reefer_carrier,205,0,0,0.08,0,17.7,0.0,False,0.001,NONE
750100313,REEFER_GUL_01,LR,reefer_carrier,205,0,0,0.08,0,17.6,0.0,False,0.001,NONE
760000113,CARGO_GUL_BNKR,JP,cargo,163,0,0,0.08,0,20.4,0.0,False,0.001,NONE
760000213,CARGO_GUL_BNKR,JP,cargo,163,0,0,0.08,0,18.9,0.0,False,0.001,NONE
760000313,CARGO_GUL_BNKR,CN,cargo,163,0,0,0.08,0,19.8,0.0,False,0.001,NONE
760100113,BARGE_GUL_01,BR,bunker_barge,73,0,0,0.08,0,9.3,0.0,False,0.001,NONE
760100213,BARGE_GUL_01,NG,bunker_barge,73,0,0,0.08,0,9.0,0.0,False,0.001,NONE
760100313,BARGE_GUL_01,SG,bunker_barge,73,0,0,0.08,0,10.0,0.0,False,0.001,NONE
770000113,SURVEY_GUL_00,US,survey_vessel,176,0,0,0.08,0,14.3,0.0,False,0.001,NONE
780000113,PATROL_GUL_00,NG,patrol_vessel,58,0,0,0.08,0,13.4,0.0,False,0.001,NONE
780000114,PATROL_GUL_01,NG,patrol_vessel,58,0,0,0.08,0,13.7,0.0,False,0.001,NONE
790000113,DREDGER_GUL_00,BE,dredger,203,0,0,0.08,0,4.2,0.0,False,0.001,NONE
800000112,LOITER_GUL_00,SL,cargo,553,0,0,0.08,0,19.2,0.0,True,0.031,POOR_COMPLIANCE_FLAG
800000113,LOITER_GUL_01,SL,cargo,553,0,0,0.08,0,19.0,0.0,True,0.031,POOR_COMPLIANCE_FLAG
800000114,LOITER_GUL_02,KR,cargo,553,0,0,0.08,0,20.6,0.0,False,0.001,NONE
800000115,LOITER_GUL_03,LR,cargo,553,0,0,0.08,0,20.6,0.0,False,0.001,NONE
900000112,STS_TANKER_0_1,PA,tanker,289,0,0,0.08,0,14.5,0.0,True,0.031,POOR_COMPLIANCE_FLAG
900000113,STS_TANKER_0_2,VU,tanker,289,0,0,0.08,0,14.7,0.0,True,0.031,POOR_COMPLIANCE_FLAG
900000122,STS_TANKER_1_1,PA,tanker,289,0,0,0.08,0,16.0,0.0,True,0.031,POOR_COMPLIANCE_FLAG
900000123,STS_TANKER_1_2,VU,tanker,289,0,0,0.08,0,15.5,0.0,True,0.031,POOR_COMPLIANCE_FLAG
900000132,STS_TANKER_2_1,PA,tanker,289,0,0,0.08,0,15.1,0.0,True,0.031,POOR_COMPLIANCE_FLAG
900000133,STS_TANKER_2_2,VU,tanker,289,0,0,0.08,0,15.3,0.0,True,0.031,POOR_COMPLIANCE_FLAG
